Interview ID,Gender,Latinx,Race,Education,Industry,Years in US,Income Post Tax (1 month),HOPE,CogHope,CogHopAg,CogHopPath,AffHope,Optimism,GrowOpt,GratPerspOpt,,,,,,,,,,,,,,
121,1,1,1,2,1,9,1,1,1,1,0,0,2,1,1,,,,,,,,,,,,,,
141,0,1,1,2,1,5,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,
142,0,1,1,1,1,5,1,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,
131,1,1,1,2,1,28,1,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,
111,0,0,3,4,3,18,N/A,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,
1101,0,0,3,2,3,13,N/A,1,1,0,0,1,1,0,1,,,,,,,,,,,,,,
122,1,1,5,2,3,10,1,1,1,0,0,1,1,0,1,,,,,,,,,,,,,,
174,1,1,5,3,3,13,1,1,1,0,0,1,1,0,1,,,,,,,,,,,,,,
191,1,1,5,2,3,23,1,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,
161,0,1,5,2,5,28,2,2,1,0,1,1,1,0,1,,,,,,,,,,,,,,
143,1,1,5,2,6,8,N/A,2,1,0,1,1,1,0,1,,,,,,,,,,,,,,
175,1,1,5,2,7,19,1,2,1,0,1,1,1,1,1,,,,,,,,,,,,,,
171,1,1,5,5,8,21.58,1,2,1,1,1,1,2,1,1,,,,,,,,,,,,,,
172,1,1,5,3,9,30,2,2,1,1,1,1,2,1,1,,,,,,,,,,,,,,
173,0,1,5,2,10,4.5,2,2,1,1,1,1,2,1,1,,,,,,,,,,,,,,
163,1,0,0,6,10,7,1,2,1,1,1,1,2,1,1,,,,,,,,,,,,,,